# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	387
#@/user_id	e3e89c7d-ca71-4fde-a976-09d0756b60c7
rang 	让	c=1 d=0.744532 t=387
ru guo 	如果	c=1 d=0.882497 t=387
ru he 	如何	c=11 d=5.65434 t=387
ru he shi yong 	如何使用	c=2 d=1.63377 t=387
ruan 	软	c=1 d=0.722527 t=387
ruan lian jie 	软链接	c=4 d=3.27395 t=387
sao miao yi xia 	扫描一下	c=1 d=0.951229 t=387
shang xia 	上下	c=1 d=0.839457 t=387
she zhi 	设置	c=0 d=0.0946485 t=387
shen fen 	身份	c=2 d=1.86437 t=387
shen me 	什么	c=2 d=1.65041 t=387
sheng xiao 	生效	c=1 d=1 t=387
shi 	时	c=2 d=1.53968 t=387
shi 	是	c=6 d=4.88119 t=387
shi bu shi 	是不是	c=3 d=2.40751 t=387
shi bu shi yao 	是不是要	c=1 d=0.970446 t=387
shi fou 	是否	c=2 d=1.8509 t=387
shi shen me 	是什么	c=1 d=1 t=387
shi xian 	实现	c=2 d=1.69577 t=387
shi xiao 	失效	c=1 d=0.97531 t=387
shi xiao le 	失效了	c=1 d=0.852144 t=387
shou ji qi lai 	收集起来	c=1 d=0.774916 t=387
si hu 	似乎	c=1 d=0.970446 t=387
ta 	它	c=1 d=0.980199 t=387
ta men 	他们	c=1 d=0.748264 t=387
tai man le 	太慢了	c=1 d=0.806541 t=387
ti huan 	替换	c=3 d=2.51594 t=387
tong guo 	通过	c=1 d=0.923116 t=387
tui chu 	退出	c=1 d=0.865022 t=387
tuo guan 	托管	c=1 d=0.918512 t=387
tuo li 	脱离	c=1 d=0.932394 t=387
wei 	为	c=1 d=0.918512 t=387
wei le 	为了	c=1 d=0.970446 t=387
wei shen me 	为什么	c=2 d=1.45363 t=387
wei zhi 	位置	c=1 d=0.97531 t=387
wen jian 	文件	c=5 d=3.51073 t=387
wen jian jia 	文件夹	c=3 d=2.62931 t=387
wen ti 	问题	c=1 d=0.995012 t=387
wo 	我	c=0 d=0.0701173 t=387
wo chang shi le 	我尝试了	c=1 d=0.869358 t=387
wo dang 	我党	c=0 d=0.0786628 t=387
wo dang qian 	我党前	c=1 d=0.790571 t=387
wo de 	我的	c=5 d=3.7578 t=387
wo hai you 	我还有	c=1 d=0.88692 t=387
wo ru he 	我如何	c=1 d=0.704688 t=387
wo shi 	我是	c=0 d=0.0891366 t=387
wo shi yong de 	我是用的	c=1 d=0.895834 t=387
wo xi wang 	我希望	c=1 d=0.822835 t=387
wo xi wang de 	我希望的	c=2 d=1.52672 t=387
wo xian zai 	我现在	c=1 d=0.878095 t=387
wo xiang 	我想	c=2 d=1.64036 t=387
wo xiang she zhi 	我想设置	c=1 d=0.951229 t=387
wo ying gai 	我应该	c=1 d=0.913931 t=387
wo zhe ge 	我这个	c=1 d=0.67032 t=387
wo zhi jie 	我直接	c=1 d=1 t=385
xia 	下	c=8 d=5.86164 t=387
xia zai 	下载	c=2 d=1.83249 t=387
xia zai lu jing 	下载路径	c=0 d=0.097531 t=387
